Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  9.68      0.97     0.97                             b2ContactSolver::SolveVelocityConstraints()
  8.08      1.78     0.81 585755660     0.00     0.00  b2Vec2::b2Vec2(float, float)
  5.49      2.33     0.55                             __x86.get_pc_thunk.bx
  4.59      2.79     0.46 122179778     0.00     0.00  operator-(b2Vec2 const&, b2Vec2 const&)
  3.59      3.15     0.36                             b2Mul(b2Transform const&, b2Vec2 const&)
  3.59      3.51     0.36                             b2Cross(b2Vec2 const&, b2Vec2 const&)
  3.09      3.82     0.31 157729624     0.00     0.00  operator*(float, b2Vec2 const&)
  2.64      4.08     0.27 89684141     0.00     0.00  operator+(b2Vec2 const&, b2Vec2 const&)
  2.50      4.33     0.25                             b2Cross(float, b2Vec2 const&)
  2.40      4.58     0.24                             b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool)
  2.10      4.79     0.21                             b2Dot(b2Vec2 const&, b2Vec2 const&)
  2.00      4.99     0.20  1300000     0.00     0.00  debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&)
  2.00      5.18     0.20                             b2Mul(b2Rot const&, b2Vec2 const&)
  2.00      5.38     0.20                             b2World::Solve(b2TimeStep const&)
  1.80      5.57     0.18 103063745     0.00     0.00  b2Vec2::b2Vec2()
  1.80      5.75     0.18                             b2World::SolveTOI(b2TimeStep const&)
  1.70      5.92     0.17 53055077     0.00     0.00  float b2Max<float>(float, float)
  1.60      6.08     0.16 42687445     0.00     0.00  float b2Min<float>(float, float)
  1.60      6.24     0.16                             b2ContactSolver::InitializeVelocityConstraints()
  1.50      6.38     0.15                             b2Vec2::operator-=(b2Vec2 const&)
  1.20      6.50     0.12                             b2FindMaxSeparation(int*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&)
  1.10      6.62     0.11                             b2ContactSolver::b2ContactSolver(b2ContactSolverDef*)
  0.90      6.71     0.09                             b2ContactSolver::SolvePositionConstraints()
  0.80      6.79     0.08                             b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&)
  0.80      6.87     0.08                             b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float)
  0.80      6.95     0.08                             b2World::DrawDebugData()
  0.80      7.03     0.08                             b2AABB::GetPerimeter() const
  0.75      7.10     0.07                             b2StackAllocator::Free(void*)
